song_id,song_name,artist,album,play_count
53KWkwzQq47p13swqiLAMI,Love Me Anyway,Chappell Roan,Love Me Anyway,1
54W4dN6L58ySaW7WkWlTQ5,Shiver,Cage The Elephant,Thank You Happy Birthday (Expanded Edition),1
55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,reputation Stadium Tour Surprise Song Playlist,1
5EcxDrQuoP14uKF2RFOy8A,Pasadena,Quinn XCII,Pasadena,1
5IHq3x0UsDi7nHc3heKmix,New Perspective,Noah Kahan,Stick Season (Forever),1
5IgqdFKJfHKmkgk91RiU1a,jake - keep it together,Josh Hodges,Sexton Blake,1
5SNrF8sTUjkyliM7ZLhUtN,multiverse,Maya Manuela,multiverse,1
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,17,1
5a4yP5m7lluGAVvz3RoiL1,Bruises and Stains,Mark Ambor,Rockwood,1
5aHig7nUnOmW93MlwJGTnf,Sympathy,Declan McKenna,What Happened to the Beach?,3
5bgwqaRSS3M8WHWruHgSL5,8TEEN,Khalid,American Teen,1
5sIx4BlfYGuZeSLF40N9GH,Remind Me to Forget,Kygo,Remind Me to Forget,6
5vYjTN8d0DZ2SosbKSx5Nj,OMG,Suki Waterhouse,Memoir of a Sparklemuffin,1
608R6FvRtAqf2dvgKMzebP,I Want to Write You a Song,One Direction,Made In The A.M. (Deluxe Edition),2
62ke5zFUJN6RvtXZgVH0F8,Only Love Can Hurt Like This,Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),1
66h3xcrTooMC9AxV8g0Y75,The Pool,Stephen Sanchez,"What Was, Not Now",4
67bMNwh9tvs0oItiStE1hZ,Just Begun,WILD,Just Begun,1
6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone,Kelly Clarkson,Breakaway,1
6KvjMXe9eAhYWZFLxJ6dt8,On Time,Wallows,Remote (Deluxe),1
6W9l02gRsXVxzIuQC1oc1X,pretty isn’t pretty,Olivia Rodrigo,GUTS,1
6YF6vzUiw3p3vnIj98dL8o,Clip,BOL4,Red Diary Page.2,3
6oPDWUwxTIsGejcHd9tLdc,This is what the drugs are for,Gracie Abrams,Good Riddance (Deluxe),1
6rY5FAWxCdAGllYEOZMbjW,SLOW DANCING IN THE DARK,Joji,BALLADS 1,2
6uWykkthdJzx6GMLcFI2iB,My City,24kGoldn,My City (FAST X Soundtrack),1
6wmYBQnVQ7IQpgiMYjjNN2,Ooh,Jon Bellion,The Definition,3
72RC6Kw32QfJi6RzlDKNxs,Booster Seat,Spacey Jane,Sunlight,2
74Q2hZtmp909KytbLxxf1r,Canada,Wallows,Model,2
764ujNLl9iNMXJhpGRo6aq,That's What I Get,Wallows,Tell Me That It’s Over,2
7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,Parachutes,1
7GXcuBE3Aiu8gUJjX8PSlV,Bad Dream,Wallows,Model,1
7GjOb7jRRrB3nrNqFeKzff,War,keshi,Requiem,1
7HmN3o3K10kMkBqAvKJYQA,coffee,96 Zeus,9h 06m,1
7mFhyM0k5ZKG8jxcwmPVYl,Let It Happen,Gracie Abrams,The Secret of Us,1
7ppPZa3TRUSGKaks9wH7VT,Don't Look Back In Anger,Oasis,(What's The Story) Morning Glory?,1
7xdKRHvX5OXoRyfPQ8w2mU,At the End of the Day,Wallows,Tell Me That It’s Over,1
